"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","gender"
"1",3,0,0,0,0,0,0,0,"M"
"2",2.5,0,0,0,0,0,0,0.5,"W"
"3",3,0,0,0,0,0,0.5,1,"M"
"4",2,1,0,0,0,0,0,0.5,"M"
"5",1,0.5,0,0,0,0,0,0.5,"W"
"6",3,1,1,0,0,0,1,2,"M"
"7",2,1,1,0,1,0,1.5,3,"M"
"8",0,0,0,0,0,0,0,0,"W"
"9",3,0,2,2,0,3,3,3,"M"
"10",3,1.5,1,0,0,0,2,3,"W"
"11",3,1.5,1,0,0,0,2,3,"W"
"12",0,0,0,0,0,0,0,0,"M"
"13",3,3,0,0,0,0,2,2,"M"
"14",3,0,0,0,0,0,0,3,"M"
"15",3,3,2,2,0,2,0,3,"M"
"16",0,0,0,0,0,0,0,0,"M"
"17",3,0,3,2,0,2,3,3,"M"
"18",0,0,0,0,0,0,0,0,"M"
"19",0,0,0,0,0,0,0,0,"M"
"20",0,0,0,0,0,0,0,0,"M"
"21",0,0,0,0,0,0,0,0,"M"
"22",1,1.5,0,0,0,1.5,1.5,3,"M"
"23",2.5,2,1.5,2,2,1.5,2.5,2.5,"M"
"24",2,1.5,1,0,0,1.5,1,2,"M"
"25",1.5,1,0,0,0,0,0,0.5,"M"
"26",1.5,1.5,1,0.5,0.5,0.5,1,1.5,"M"
"27",1,1,0.5,1,1,1,0,2,"M"
"28",1.5,2,2,2,2,2,2,3,"M"
"29",2,1,1,1,0.5,1,3,2,"M"
"30",2,1,2,1.5,1.5,0,1,3,"M"
"31",2,0,0,0,0,0,0,1,"W"
"32",1,0,0,0,0,0,0,1,"W"
"33",1,1.5,0,0,0,0,0,1,"W"
"34",2,1.5,1,0,0,0,1,3,"M"
"35",0,1,0,0,0,0,0,2,"M"
"36",1,0.5,0,0,0,0,0,2,"M"
"37",1,0,0,0,0,0,0,1,"W"
"38",1.5,0,0,0,0,0,0,0.5,"M"
"39",0,0.5,0,0,0,0,0,1,"M"
"40",0,0,0,0,0,0,0,1,"M"
"41",1,1.5,0,0,0,0,0,3,"M"
"42",1.5,0,0,0,0,0,0,1,"M"
"43",3,1.5,0,0,1.5,2,2,3,"M"
"44",2,1.5,3,0,2,0,3,3,"M"
"45",1.5,0,0,0,0,0,0,2,"W"
"46",1,0,0,0,1,1,1,0,"M"
"47",0,1,0,0,0,0,0,0,"M"
"48",3,3,2,3,2,2,3,3,"M"
"49",1,0,0,0,0,0,0,0,"W"
"50",1,0,0,0,0,0,0,0,"M"
"51",1,1,0,0,0,0,0,0,"M"
"52",0,1,0,0,1,0,0,0,"M"
"53",2,1,0,0,0,0,0,0,"W"
"54",2,1,0,0,0,0,0,0,"M"
"55",1,1,0,0,2,0,0,0,"M"
"56",0,0,0,0,0,0,0,0,"M"
"57",0,0,0,0,0,0,0,0,"W"
"58",1,0,0,0,0,0,0,0,"W"
"59",3,3,0,0,0,0,0,0,"M"
"60",3,3,0,0,0,0,0,1,"M"
"61",3,1,0,0,0,0,0,3,"M"
"62",2,3,0,0,0,0,0,1,"M"
"63",3,3,0,0,0,0,0,1,"M"
"64",3,2,0,0,0,0,1,2,"M"
"65",3,2,0,0,0,0,2,3,"M"
"66",3,3,0,0,0,0,1,2,"M"
"67",2,3,0,0,0,0,0,1,"W"
"68",2,3,0,0,0,0,0,2,"M"
"69",3,0,0,0,0,1.5,1.5,3,"M"
"70",1.5,0,0,0,0,1.5,0,2,"M"
"71",3,0,0,0,0,1.5,0,3,"M"
"72",1.5,0,0,0,0,1.5,0,0,"M"
"73",3,0,1.5,0,0,1.5,0,2,"W"
"74",3,0,1.5,0,0,1.5,1.5,3,"M"
"75",0,0,1.5,0,0,1.5,0,1,"M"
"76",1.5,0,1.5,0,0,1.5,0,3,"M"
"77",1.5,0,1.5,0,0,1.5,0,3,"M"
"78",0,0,1.5,0,0,1.5,0,3,"M"
"79",0,0,0,0,0,0,0,1,"W"
"80",3,2,1,0,0,0,3,3,"M"
"81",3,2,1,0,1,0,3,3,"M"
"82",3,0,0,0,0,0,0,2,"W"
"83",2,1,0,0,0,0,0,2,"M"
"84",3,0,0,0,0,0,0,1,"W"
"85",1,0,0,0,0,0,0,3,"M"
"86",1,0,0,0,0,0,0,2,"W"
"87",1,0,0,0,0,0,0,2,"M"
"88",2,0,0,0,0,0,0,2,"M"
"89",2,1,1,0,0,0,1,3,"M"
"90",0,3,0,0,0,0,0,0,"W"
"91",0,3,0,0,0,0,0,1,"M"
"92",3,2.5,0.5,0,0,0,0,2,"W"
"93",2,2,0.5,0,0,0,0,3,"M"
"94",0,3,0,0,0,0,0,0,"W"
"95",0,3,0,0,0,0,0,0,"M"
"96",0,0,1,0,0,0,0,0,"M"
"97",0,0,0,0,1,0,0,0,"M"
"98",0,0,0,0,0,0,0,0,"M"
"99",0,0,0,0,0,0,0,0,"W"
"100",0,0,0,0,0,0,0,0,"M"
"101",0,0,0,0,0,0,0,0,"M"
"102",0,0,0,0,0,0,0,0,"M"
"103",0,0,0,0,0,0,0,0,"M"
"104",0,0,0,0,0,0,0,0,"M"
"105",3,3,0,0,0,0,1.5,3,"M"
"106",0,0,0,0,0,0,0,0,"M"
"107",0,0,0,0,0,0,0,0,"W"
"108",1.5,0,0,0,0,0,0,2,"M"
"109",0,0,0,0,0,0,0,0,"M"
"110",1.5,0,0,0,0,0,0,1,"M"
"111",0,0,0,0,0,0,0,0,"M"
