"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","gender","S","DD","D_pred"
"1",3,0,0,0,0,0,0,0,"M",3,"0",5.6095285902645
"2",2.5,0,0,0,0,0,0,0.5,"W",2.5,"0",5.03307027602069
"3",3,0,0,0,0,0,0.5,1,"M",3.5,"1",5.41957964161317
"4",2,1,0,0,0,0,0,0.5,"M",3,"0",6.30422803969785
"5",1,0.5,0,0,0,0,0,0.5,"W",1.5,"0",2.29089776936997
"6",3,1,1,0,0,0,1,2,"M",6,"1",10.5797516014582
"7",2,1,1,0,1,0,1.5,3,"M",6.5,"1",12.5060838902807
"8",0,0,0,0,0,0,0,0,"W",0,"0",0
"9",3,0,2,2,0,3,3,3,"M",13,"1",23.1633897930385
"10",3,1.5,1,0,0,0,2,3,"W",7.5,"1",12.0120787871781
"11",3,1.5,1,0,0,0,2,3,"W",7.5,"1",14.9410470271488
"12",0,0,0,0,0,0,0,0,"M",0,"0",0
"13",3,3,0,0,0,0,2,2,"M",8,"1",14.727366283761
"14",3,0,0,0,0,0,0,3,"M",3,"1",7.35175357683884
"15",3,3,2,2,0,2,0,3,"M",12,"1",21.5057315759385
"16",0,0,0,0,0,0,0,0,"M",0,"0",0
"17",3,0,3,2,0,2,3,3,"M",13,"1",22.9473870008426
"18",0,0,0,0,0,0,0,0,"M",0,"0",0
"19",0,0,0,0,0,0,0,0,"M",0,"0",0
"20",0,0,0,0,0,0,0,0,"M",0,"0",0
"21",0,0,0,0,0,0,0,0,"M",0,"0",0
"22",1,1.5,0,0,0,1.5,1.5,3,"M",5.5,"1",8.74745187358505
"23",2.5,2,1.5,2,2,1.5,2.5,2.5,"M",14,"1",26.6923986589429
"24",2,1.5,1,0,0,1.5,1,2,"M",7,"1",12.6199431231497
"25",1.5,1,0,0,0,0,0,0.5,"M",2.5,"0",5.23147805737546
"26",1.5,1.5,1,0.5,0.5,0.5,1,1.5,"M",6.5,"1",11.76034021573
"27",1,1,0.5,1,1,1,0,2,"M",5.5,"1",10.1877712189042
"28",1.5,2,2,2,2,2,2,3,"M",13.5,"1",24.9031640122533
"29",2,1,1,1,0.5,1,3,2,"M",9.5,"1",16.8172374704563
"30",2,1,2,1.5,1.5,0,1,3,"M",9,"1",16.7862152280243
"31",2,0,0,0,0,0,0,1,"W",2,"1",3.10845873231141
"32",1,0,0,0,0,0,0,1,"W",1,"1",2.14549996464479
"33",1,1.5,0,0,0,0,0,1,"W",2.5,"1",3.84512713552568
"34",2,1.5,1,0,0,0,1,3,"M",5.5,"1",10.135441362786
"35",0,1,0,0,0,0,0,2,"M",1,"1",1.51378308629212
"36",1,0.5,0,0,0,0,0,2,"M",1.5,"1",2.62837297391877
"37",1,0,0,0,0,0,0,1,"W",1,"1",2.01322811040828
"38",1.5,0,0,0,0,0,0,0.5,"M",1.5,"0",2.33134404923356
"39",0,0.5,0,0,0,0,0,1,"M",0.5,"1",1.00661405520414
"40",0,0,0,0,0,0,0,1,"M",0,"1",0
"41",1,1.5,0,0,0,0,0,3,"M",2.5,"1",4.73531016796172
"42",1.5,0,0,0,0,0,0,1,"M",1.5,"1",3.67587678841942
"43",3,1.5,0,0,1.5,2,2,3,"M",10,"1",17.6970206150714
"44",2,1.5,3,0,2,0,3,3,"M",11.5,"1",22.4198678888897
"45",1.5,0,0,0,0,0,0,2,"W",1.5,"1",2.33134404923356
"46",1,0,0,0,1,1,1,0,"M",4,"0",7.08663241521653
"47",0,1,0,0,0,0,0,0,"M",1,"0",1.5542293661557
"48",3,3,2,3,2,2,3,3,"M",18,"1",34.1114438497335
"49",1,0,0,0,0,0,0,0,"W",1,"0",2.45058452561295
"50",1,0,0,0,0,0,0,0,"M",1,"0",1.8698428634215
"51",1,1,0,0,0,0,0,0,"M",2,"0",4.46381263602122
"52",0,1,0,0,1,0,0,0,"M",2,"0",3.88307097382978
"53",2,1,0,0,0,0,0,0,"W",3,"0",6.30422803969785
"54",2,1,0,0,0,0,0,0,"M",3,"0",4.58179553873995
"55",1,1,0,0,2,0,0,0,"M",4,"0",6.69012635822357
"56",0,0,0,0,0,0,0,0,"M",0,"0",0
"57",0,0,0,0,0,0,0,0,"W",0,"0",0
"58",1,0,0,0,0,0,0,0,"W",1,"0",2.01322811040828
"59",3,3,0,0,0,0,0,0,"M",6,"0",10.2722166887316
